  NodeId  MxeCellId    MxeCellName
--------  -----------  ---------------------------------------
       0  2            [
       1  3            ]
       2  10-40        compose new email
       3  10-42        enter receiver's email address
       4  10-43        enter email subject
       5  10-45        enter email body
       6  10-47        send email
       7  10-74        open mailbox
       8  10-77        select email
       9  10-96        enter the  receiver's email address
      10  10-97        enter alias email addresses of receiver
      11  10-117       create an addressbook for a receiver
      12  10-131       get alias email addresses of receiver
      13  11-40        compose new email
      14  11-42        enter receiver's email address
      15  11-43        enter email subject
      16  11-45        enter email body
      17  11-47        send email
      18  11-74        open mailbox
      19  11-77        select email
      20  11-124       enter email autoresponse date interval
      21  11-125       enter autoresponse email body
      22  11-96        enter the  receiver's email address
      23  11-97        enter alias email addresses of receiver
      24  11-117       create an addressbook for a receiver
      25  11-131       get alias email addresses of receiver
      26  12-40        compose new email
      27  12-42        enter receiver's email address
      28  12-43        enter email subject
      29  12-45        enter email body
      30  12-47        send email
      31  12-74        open mailbox
      32  12-77        select email
      33  12-124       enter email autoresponse date interval
      34  12-125       enter autoresponse email body
      35  12-96        enter the  receiver's email address
      36  12-97        enter alias email addresses of receiver
      37  12-117       create an addressbook for a receiver
      38  12-131       get alias email addresses of receiver
      39  12-103       get receiver's  public key
      40  12-53        encrypt mail with receiver's public key
      41  13-40        compose new email
      42  13-42        enter receiver's email address
      43  13-43        enter email subject
      44  13-45        enter email body
      45  13-47        send email
      46  13-74        open mailbox
      47  13-77        select email
      48  13-124       enter email autoresponse date interval
      49  13-125       enter autoresponse email body
      50  13-96        enter the  receiver's email address
      51  13-97        enter alias email addresses of receiver
      52  13-117       create an addressbook for a receiver
      53  13-131       get alias email addresses of receiver
      54  13-103       get receiver's  public key
      55  13-53        encrypt mail with receiver's public key
      56  13-139       sign mail
      57  14-40        compose new email
      58  14-42        enter receiver's email address
      59  14-43        enter email subject
      60  14-45        enter email body
      61  14-47        send email
      62  14-74        open mailbox
      63  14-77        select email
      64  14-124       enter email autoresponse date interval
      65  14-125       enter autoresponse email body
      66  14-96        enter the  receiver's email address
      67  14-97        enter alias email addresses of receiver
      68  14-117       create an addressbook for a receiver
      69  14-131       get alias email addresses of receiver
      70  14-33        enter forward receiver's email address
      71  15-40        compose new email
      72  15-42        enter receiver's email address
      73  15-43        enter email subject
      74  15-45        enter email body
      75  15-47        send email
      76  15-74        open mailbox
      77  15-77        select email
      78  15-124       enter email autoresponse date interval
      79  15-125       enter autoresponse email body
      80  15-96        enter the  receiver's email address
      81  15-97        enter alias email addresses of receiver
      82  15-117       create an addressbook for a receiver
      83  15-131       get alias email addresses of receiver
      84  15-139       sign mail
      85  16-40        compose new email
      86  16-42        enter receiver's email address
      87  16-43        enter email subject
      88  16-45        enter email body
      89  16-47        send email
      90  16-74        open mailbox
      91  16-77        select email
      92  16-96        enter the  receiver's email address
      93  16-97        enter alias email addresses of receiver
      94  16-117       create an addressbook for a receiver
      95  16-131       get alias email addresses of receiver
      96  16-103       get receiver's  public key
      97  16-53        encrypt mail with receiver's public key
      98  17-40        compose new email
      99  17-42        enter receiver's email address
     100  17-43        enter email subject
     101  17-45        enter email body
     102  17-47        send email
     103  17-74        open mailbox
     104  17-77        select email
     105  17-124       enter email autoresponse date interval
     106  17-125       enter autoresponse email body
     107  18-40        compose new email
     108  18-42        enter receiver's email address
     109  18-43        enter email subject
     110  18-45        enter email body
     111  18-47        send email
     112  18-74        open mailbox
     113  18-77        select email
     114  18-124       enter email autoresponse date interval
     115  18-125       enter autoresponse email body
     116  18-103       get receiver's  public key
     117  18-53        encrypt mail with receiver's public key
     118  19-40        compose new email
     119  19-42        enter receiver's email address
     120  19-43        enter email subject
     121  19-45        enter email body
     122  19-47        send email
     123  19-74        open mailbox
     124  19-77        select email
     125  19-124       enter email autoresponse date interval
     126  19-125       enter autoresponse email body
     127  19-33        enter forward receiver's email address
     128  20-40        compose new email
     129  20-42        enter receiver's email address
     130  20-43        enter email subject
     131  20-45        enter email body
     132  20-47        send email
     133  20-74        open mailbox
     134  20-77        select email
     135  20-103       get receiver's  public key
     136  20-53        encrypt mail with receiver's public key
     137  21-40        compose new email
     138  21-42        enter receiver's email address
     139  21-43        enter email subject
     140  21-45        enter email body
     141  21-47        send email
     142  21-74        open mailbox
     143  21-77        select email
     144  21-33        enter forward receiver's email address
     145  22-40        compose new email
     146  22-42        enter receiver's email address
     147  22-43        enter email subject
     148  22-45        enter email body
     149  22-47        send email
     150  22-74        open mailbox
     151  22-77        select email
