  NodeId  MxeCellId    MxeCellName
--------  -----------  ------------------------------------------
       0  2            [
       1  3            ]
       2  10-275       log in
       3  10-266       access as a teacher
       4  10-274       turn editing on
       5  10-314       open class records
       6  10-440       delete class
       7  10-184       confirm deletion
       8  10-219       select the deletable class
       9  10-150       add new class
      10  10-151       enter the name of the class
      11  10-152       enter the class detail
      12  10-158       submit the class
      13  10-177       select the editable class
      14  10-163       update the name of the class
      15  10-164       update the class detail
      16  10-234       assign schedule
      17  10-471       add new schedule
      18  10-472       enter the days ofthe class
      19  10-473       enter the hours of the class
      20  10-478       submit the class schedule
      21  10-510       update the days ofthe class
      22  10-512       update the hours of the class
      23  10-222       select the editable schedule
      24  10-120       read the access card to the card reader
      25  10-133       submit attendance
      26  10-137       confirm your identity
      27  10-317       open notification settings
      28  10-319       confirm notification settings
      29  10-428       receive notifications as Email
      30  10-334       select the existing schedule
      31  10-205       select the existing class
      32  10-332       view schedule
      33  10-206       view class
      34  10-253       open student attendance records
      35  10-379       select a class-list attendance record
      36  10-235       select an editable student-record
      37  10-413       edit attendance status
      38  10-245       submit attendance record update
      39  10-420       trace attendance activity of the class
      40  10-223       select the existing record
      41  10-179       view record
      42  10-337       monitor current attendance status
      43  10-555       open myattendance records
      44  10-559       access as a student
      45  11-275       log in
      46  11-266       access as a teacher
      47  11-274       turn editing on
      48  11-314       open class records
      49  11-440       delete class
      50  11-184       confirm deletion
      51  11-219       select the deletable class
      52  11-150       add new class
      53  11-151       enter the name of the class
      54  11-152       enter the class detail
      55  11-158       submit the class
      56  11-177       select the editable class
      57  11-163       update the name of the class
      58  11-164       update the class detail
      59  11-234       assign schedule
      60  11-471       add new schedule
      61  11-472       enter the days ofthe class
      62  11-473       enter the hours of the class
      63  11-478       submit the class schedule
      64  11-510       update the days ofthe class
      65  11-512       update the hours of the class
      66  11-222       select the editable schedule
      67  11-133       submit attendance
      68  11-137       confirm your identity
      69  11-317       open notification settings
      70  11-319       confirm notification settings
      71  11-428       receive notifications as SMS
      72  11-334       select the existing schedule
      73  11-205       select the existing class
      74  11-332       view schedule
      75  11-206       view class
      76  11-253       open student attendance records
      77  11-379       select a class-list attendance record
      78  11-235       select an editable student-record
      79  11-413       edit attendance status
      80  11-245       submit attendance record update
      81  11-420       trace attendance activity of the class
      82  11-223       select the existing record
      83  11-179       view record
      84  11-337       monitor current attendance status
      85  11-555       open myattendance records
      86  11-559       access as a student
      87  11-99        show the barcode to the barcodereader
      88  11-101       enter barcode manually
      89  12-275       log in
      90  12-266       access as a teacher
      91  12-274       turn editing on
      92  12-314       open class records
      93  12-440       delete class
      94  12-184       confirm deletion
      95  12-219       select the deletable class
      96  12-150       add new class
      97  12-151       enter the name of the class
      98  12-152       enter the class detail
      99  12-158       submit the class
     100  12-177       select the editable class
     101  12-163       update the name of the class
     102  12-164       update the class detail
     103  12-234       assign schedule
     104  12-471       add new schedule
     105  12-472       enter the days ofthe class
     106  12-473       enter the hours of the class
     107  12-478       submit the class schedule
     108  12-510       update the days ofthe class
     109  12-512       update the hours of the class
     110  12-222       select the editable schedule
     111  12-120       put your finger to the fingerprint scanner
     112  12-133       submit attendance
     113  12-137       confirm your identity
     114  12-317       open notification settings
     115  12-319       confirm notification settings
     116  12-428       receive notifications as email
     117  12-334       select the existing schedule
     118  12-205       select the existing class
     119  12-332       view schedule
     120  12-206       view class
     121  12-253       open student attendance records
     122  12-379       select a class-list attendance record
     123  12-235       select an editable student-record
     124  12-413       edit attendance status
     125  12-245       submit attendance record update
     126  12-420       trace attendance activity of the class
     127  12-223       select the existing record
     128  12-179       view record
     129  12-337       monitor current attendance status
     130  12-555       open myattendance records
     131  12-559       access as a student
     132  13-275       log in
     133  13-266       access as a teacher
     134  13-274       turn editing on
     135  13-314       open class records
     136  13-440       delete class
     137  13-184       confirm deletion
     138  13-219       select the deletable class
     139  13-150       add new class
     140  13-151       enter the name of the class
     141  13-152       enter the class detail
     142  13-158       submit the class
