249	1	
2	3	0	
2	2	0	
6	4	0	
7	4	0	
8	4	0	
5	5	0	
6	6	0	
7	7	0	
8	8	0	
8	7	0	
8	6	0	
8	5	0	
5	6	0	
5	7	0	
5	8	0	
7	8	0	
7	6	0	
7	5	0	
6	5	0	
6	7	0	
6	8	0	
5	4	0	
21	29	0	
29	24	0	
21	25	0	
19	23	0	
19	28	0	
28	22	0	
28	23	0	
29	25	0	
20	30	0	
30	27	0	
30	26	0	
20	27	0	
25	20	0	
25	19	0	
24	20	0	
24	19	0	
23	20	0	
22	20	0	
23	21	0	
22	21	0	
27	21	0	
27	19	0	
26	21	0	
26	19	0	
19	22	0	
22	19	0	
24	21	0	
23	19	0	
25	21	0	
27	20	0	
26	20	0	
29	31	0	
31	29	0	
30	32	0	
32	30	0	
28	33	0	
33	28	0	
47	48	0	
48	49	0	
49	50	0	
49	51	0	
51	49	0	
52	49	0	
48	53	0	
53	54	0	
53	52	0	
52	53	0	
53	55	0	
55	53	0	
54	52	0	
54	55	0	
55	49	0	
51	53	0	
54	56	0	
56	54	0	
47	56	0	
56	47	0	
42	42	0	
41	41	0	
40	40	0	
39	39	0	
38	38	0	
38	42	0	
38	41	0	
38	40	0	
38	39	0	
39	38	0	
39	42	0	
39	41	0	
39	40	0	
40	38	0	
40	39	0	
40	41	0	
40	42	0	
41	40	0	
41	39	0	
41	38	0	
41	42	0	
42	41	0	
42	40	0	
42	39	0	
42	38	0	
38	43	0	
39	44	0	
40	45	0	
41	46	0	
43	57	0	
44	57	0	
45	57	0	
46	57	0	
43	58	0	
44	58	0	
46	58	0	
45	58	0	
58	59	0	
38	60	0	
60	39	0	
39	61	0	
61	40	0	
40	62	0	
62	41	0	
41	63	0	
63	42	0	
42	64	0	
64	65	0	
44	61	0	
44	38	0	
44	42	0	
44	41	0	
44	40	0	
43	60	0	
43	42	0	
43	41	0	
43	40	0	
45	62	0	
45	39	0	
45	38	0	
45	42	0	
45	41	0	
46	63	0	
46	40	0	
46	39	0	
46	38	0	
46	42	0	
43	39	0	
43	66	0	
66	43	0	
44	66	0	
66	44	0	
45	66	0	
66	45	0	
46	66	0	
66	46	0	
34	35	0	
36	37	0	
34	36	0	
37	34	0	
36	36	0	
34	37	0	
9	10	0	
12	11	0	
13	14	0	
15	16	0	
17	18	0	
11	9	0	
11	13	0	
11	15	0	
11	17	0	
18	12	0	
10	12	0	
16	12	0	
14	12	0	
11	12	0	
10	10	0	
14	14	0	
16	16	0	
18	18	0	
67	1	0	
0	2	0	
67	2	0	
3	67	0	
0	5	0	
0	6	0	
0	7	0	
0	8	0	
67	5	0	
67	6	0	
67	7	0	
67	8	0	
4	67	0	
10	20	0	
10	19	0	
10	21	0	
9	20	0	
9	19	0	
9	21	0	
25	12	0	
24	12	0	
23	12	0	
22	12	0	
27	12	0	
26	12	0	
42	47	0	
48	57	0	
48	58	0	
48	64	0	
48	42	0	
48	41	0	
48	40	0	
48	39	0	
48	38	0	
50	57	0	
50	58	0	
50	64	0	
50	42	0	
50	41	0	
50	40	0	
50	39	0	
50	38	0	
52	57	0	
52	58	0	
52	64	0	
52	42	0	
52	41	0	
52	40	0	
52	39	0	
52	38	0	
55	57	0	
55	58	0	
55	64	0	
55	42	0	
55	41	0	
55	40	0	
55	39	0	
55	38	0	
35	38	0	
35	42	0	
35	39	0	
35	40	0	
35	41	0	
57	36	0	
59	36	0	
65	36	0	
14	34	0	
13	34	0	
37	12	0	
11	67	0	
